song_id,song,performer,first_week_on_chart,last_week_on_chart,weeks_on_chart,highest_position,lowest_position,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
#BeautifulMariah Carey Featuring Miguel,#Beautiful,Mariah Carey Featuring Miguel,2013-05-25,2013-09-07,16,15,95,199866.0,False,0.677,0.749,4.0,-5.405,1.0,0.0391,0.346,0.0,0.347,0.469,107.042,4.0
#SELFIEThe Chainsmokers,#SELFIE,The Chainsmokers,2014-03-15,2014-05-24,11,16,95,183750.0,False,0.807,0.916,0.0,-3.282,1.0,0.226,0.0134,1.22e-05,0.0787,0.651,127.973,4.0
#thatPOWERwill.i.am Featuring Justin Bieber,#thatPOWER,will.i.am Featuring Justin Bieber,2013-04-06,2013-07-20,16,17,85,279506.0,False,0.797,0.608,6.0,-6.096,0.0,0.0583,0.00112,7.66e-05,0.0748,0.403,128.0,4.0
$ave Dat MoneyLil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,2015-10-10,2016-03-19,19,71,100,290835.0,True,0.858,0.697,2.0,-5.361,1.0,0.23,0.114,0.0,0.224,0.364,98.012,4.0
'Til Summer Comes AroundKeith Urban,'Til Summer Comes Around,Keith Urban,2010-01-30,2010-05-15,16,58,94,331466.0,False,0.57,0.629,9.0,-7.608,0.0,0.0331,0.593,0.000136,0.77,0.308,127.907,4.0
(I've Had) The Time Of My LifeGlee Cast,(I've Had) The Time Of My Life,Glee Cast,2010-12-18,2010-12-18,1,38,38,277560.0,False,0.459,0.77,9.0,-5.996,1.0,0.0472,0.0765,0.0,0.0879,0.168,110.705,4.0
(If You're Wondering If I Want You To) I Want You ToWeezer,(If You're Wondering If I Want You To) I Want You To,Weezer,2010-01-02,2010-01-16,9,81,100,208773.0,False,0.704,0.869,11.0,-5.708,0.0,0.0442,0.00219,0.000117,0.127,0.8,110.015,4.0
(It) Feels So GoodSteven Tyler,(It) Feels So Good,Steven Tyler,2011-05-28,2011-06-18,4,35,100,211293.0,False,0.738,0.952,6.0,-3.386,0.0,0.0515,0.0631,0.0,0.216,0.899,122.0,4.0
(Kissed You) Good NightGloriana,(Kissed You) Good Night,Gloriana,2012-04-21,2012-09-01,20,34,97,232903.0,False,0.523,0.747,11.0,-6.125,1.0,0.0292,0.0807,0.0,0.11,0.294,118.97,4.0
(There's No Place Like) Home For The HolidaysPerry Como,(There's No Place Like) Home For The Holidays,Perry Como,2018-12-29,2019-01-05,2,32,41,171333.0,False,0.69,0.189,0.0,-12.797,1.0,0.0316,0.897,0.0,0.133,0.735,78.042,4.0
***FlawlessBeyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2014-09-13,2015-02-21,20,41,100,234413.0,True,0.639,0.659,8.0,-7.273,1.0,0.215,0.241,8.33e-06,0.484,0.457,136.801,4.0
...Ready For It?Taylor Swift,...Ready For It?,Taylor Swift,2017-09-23,2018-01-27,19,4,96,208186.0,False,0.613,0.764,2.0,-6.509,1.0,0.136,0.0527,0.0,0.197,0.417,160.015,4.0
0 To 100 / The Catch UpDrake,0 To 100 / The Catch Up,Drake,2014-08-09,2014-12-20,20,35,64,275226.0,True,0.707,0.709,11.0,-3.979,0.0,0.34,0.763,0.0,0.274,0.501,89.094,4.0
1 NightLil Yachty,1 Night,Lil Yachty,2016-08-13,2017-01-07,20,49,94,243269.0,True,0.762,0.476,0.0,-12.686,1.0,0.114,0.366,0.0,0.103,0.375,130.007,4.0
1+1Beyonce,1+1,Beyonce,2011-06-11,2011-06-18,2,57,89,273880.0,False,0.303,0.384,6.0,-7.342,1.0,0.0339,0.381,5.14e-06,0.0661,0.261,63.345,5.0
"1, 2 ManyLuke Combs & Brooks & Dunn","1, 2 Many",Luke Combs & Brooks & Dunn,2019-09-28,2019-09-28,1,97,97,180906.0,False,0.54,0.821,6.0,-3.789,1.0,0.0875,0.0397,0.0,0.423,0.685,148.791,4.0
1-800-273-8255Logic Featuring Alessia Cara & Khalid,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2017-05-20,2018-02-24,41,3,68,,,,,,,,,,,,,,
1.521 Savage,1.5,21 Savage,2019-01-05,2019-01-05,1,86,86,,,,,,,,,,,,,,
10 BandsDrake,10 Bands,Drake,2015-02-28,2015-05-23,13,58,100,177733.0,True,0.835,0.756,7.0,-3.789,1.0,0.382,0.23,0.0,0.0801,0.87,173.0,4.0
10 Freaky GirlsMetro Boomin Featuring 21 Savage,10 Freaky Girls,Metro Boomin Featuring 21 Savage,2018-11-17,2018-12-08,4,42,70,208293.0,True,0.81,0.353,6.0,-9.931,0.0,0.31,0.588,0.0,0.102,0.0727,88.031,4.0
"10,000 HoursDan + Shay & Justin Bieber","10,000 Hours",Dan + Shay & Justin Bieber,2019-10-19,2019-12-28,11,4,14,,,,,,,,,,,,,,
